,listing_url,last_scraped,name,neighborhood_overview,host_id,host_name,host_location,host_response_time,host_acceptance_rate,host_thumbnail_url,host_neighbourhood,host_total_listings_count,host_has_profile_pic,neighbourhood,neighbourhood_group_cleansed,longitude,room_type,bathrooms,bedrooms,amenities,minimum_nights,minimum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,calendar_updated,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,availability_eoy,estimated_occupancy_l365d,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,https://www.airbnb.com/rooms/40669,2025-03-18,Skyy’s Lounge / Cozyaezz so,"The neighborhood is very diverse & friendly shopping/restaurants on Central Avenue absolutely adorable very safe to walk to. The Neighborhood has a beautiful park walking distance ❤️ read a book ride your bike , rollerblade or just simply relax along the resting area ❤️ the park also has a pool / skating rink/ ice hockey very nice, this park is called Pershing Fields NJ",175412,Skyy,"Jersey City, NJ",,100%,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_small,,4,t,Neighborhood highlights,,-74.0531,Private room,1.0,1.0,"[""Cooking basics"", ""Single level home"", ""Hair dryer"", ""Kitchen"", ""Gym"", ""Free street parking"", ""Dishwasher"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Host greets you"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Pocket wifi"", ""High chair"", ""Ethernet connection"", ""Dedicated workspace"", ""Hot water"", ""Game console"", ""TV with standard cable"", ""Smoke alarm"", ""Children\u2019s books and toys"", ""First aid kit"", ""Breakfast"", ""Indoor fireplace"", ""Iron"", ""Fire extinguisher"", ""Coffee maker"", ""Long term stays allowed"", ""Refrigerator"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Paid parking on premises"", ""Essentials"", ""Changing table"", ""Crib"", ""Children\u2019s dinnerware"", ""Shampoo""]",5,5,365,5.0,,23,83,2025-03-18,5,83,50,2010-09-23,4.95,4.95,4.86,4.95,f,0,0
1,https://www.airbnb.com/rooms/215768,2025-03-18,Minutes to Manhattan & Jersey Shore,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",846837,Charlaine,"Jersey City, NJ",within an hour,98%,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,,4,t,Neighborhood highlights,,-74.0581,Entire home/apt,1.0,1.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free washer \u2013 In building"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Luggage dropoff allowed"", ""Private entrance"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Freezer"", ""Iron"", ""Backyard"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Shampoo""]",3,3,1000,3.9,,23,67,2025-03-18,29,241,255,2011-09-13,4.81,4.91,4.89,4.8,f,2,0
2,https://www.airbnb.com/rooms/254245,2025-03-18,Minutes to Manhattan and NJ Shore,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",846837,Charlaine,"Jersey City, NJ",within an hour,98%,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,,4,t,Neighborhood highlights,,-74.06179,Entire home/apt,1.0,1.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Free washer \u2013 In unit"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Toaster"", ""Luggage dropoff allowed"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Exterior security cameras on property"", ""Shampoo""]",3,3,365,3.9,,29,80,2025-03-18,19,272,175,2011-11-21,4.76,4.9,4.85,4.74,f,2,0
3,https://www.airbnb.com/rooms/269266,2025-03-18,Modern private 2 bedrooms apt minutes to NYC,"Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large two bedrooms apartment  on second floor .The kitchen is completely new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. <br /><br />There is also free street parking for those with a car.<br /><br />Location is great. Just 25 - 40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10- 15 minutes walk from historic downtown Jersey City with trendy restaurants, bars, and shops. From there you can take the PATH subway to Manhattan (2 stops to the World Trade Center or 4-5 stops ",1410590,Magdalena,"Jersey City, NJ",within an hour,99%,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,Bergen-Lafayette,19,t,Neighborhood highlights,,-74.06374,Entire home/apt,1.0,2.0,"[""55 inch HDTV"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Room-darkening shades"", ""Dedicated workspace"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Baby safety gates"", ""Shampoo""]",2,2,1125,3.5,,15,35,2025-03-18,41,220,255,2011-11-25,4.38,4.55,4.67,4.46,t,1,0
4,https://www.airbnb.com/rooms/271255,2025-03-18,Large Room with private bathroom min to Manhattan,,1410590,Magdalena,"Jersey City, NJ",within an hour,99%,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,Bergen-Lafayette,19,t,,,-74.06327,Private room,1.0,1.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Gas stove"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Mosquito net"", ""Shampoo""]",2,2,1125,3.3,,8,19,2025-03-18,25,112,230,2012-04-16,4.45,4.69,4.62,4.43,t,1,0
5,https://www.airbnb.com/rooms/675483,2025-03-18,Room & Private Bath~Minutes to NYC!,"Downtown Jersey City is right outside of Manhattan, and has great restaurants, bars, and shops all within walking distance. There are parks nearby as well. If you walk 10 minutes to the waterfront you will get spectacular views of Manhattan. A large shopping mall and grocery store are also a couple blocks away.  I have lived here over 15 years and feel very safe. <br /><br />Other local attractions include Hoboken and Liberty State Park which has ferry service to the Statue of Liberty, Ellis Island, and Manhattan.",2259684,Leigh,"Jersey City, NJ",within an hour,100%,https://a0.muscache.com/im/pictures/user/User/original/f6fd94d5-2212-4a6f-9d0b-24d60d036835.jpeg?aki_policy=profile_small,,3,t,Neighborhood highlights,,-74.04179,Private room,1.0,1.0,"[""Body soap"", ""Outdoor dining area"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet"", ""Private patio or balcony"", ""Single level home"", ""Smart lock"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Toaster"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Coffee"", ""Mini fridge"", ""Portable heater"", ""Mini fridge  refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Smoke alarm"", ""Window AC unit"", ""First aid kit"", ""Cleaning products"", ""Hot water kettle"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Fast wifi \u2013 432 Mbps"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Paid parking off premises"", ""Essentials"", ""24 inch TV with Roku, Hulu, Disney+, Amazon Prime Video, Netflix, HBO Max"", ""Outdoor furniture"", ""Shampoo""]",3,2,1125,3.0,,8,19,2025-03-18,29,19,255,2012-09-17,4.77,4.69,4.94,4.76,f,0,0
6,https://www.airbnb.com/rooms/810860,2025-03-18,Spacious Studio minutes away from NYC,"The neighborhood is seconds from ""Little India"", which offers low-budget to formal Indian dining, in addition to Filipino, Latin American, and Egyptian cuisine, reflecting the city's wide ethnic population.  Downtown Jersey City is also minutes away and offers a big variety of Bars and Restaurants.<br /><br />Jersey City is just across the Hudson river, and it's closer and better connected to the heart of Manhattan than some boroughs and locations in New York City. It is literally 10 minutes away from Downtown Manhattan by subway (path train) and 15mn away from Greenwich Village and midtown. The Path Train runs all day and all night on a schedule.",3530754,Laura,"Detroit, MI",within a day,80%,https://a0.muscache.com/im/users/3530754/profile_pic/1384414411/original.jpg?aki_policy=profile_small,,10,t,Neighborhood highlights,,-74.06481,Entire home/apt,1.0,1.0,"[""Cooking basics"", ""Body soap"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Self check-in"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Paid dryer \u2013 In building"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Keypad"", ""Iron"", ""Clothing storage"", ""Backyard"", ""Central air conditioning"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials""]",28,28,366,28.0,,0,0,2025-03-18,2,0,112,2019-03-30,4.88,4.88,5.0,4.63,f,1,0
7,https://www.airbnb.com/rooms/818075,2025-03-18,Lovely Apartment - Easy access to NYC,Our area of Jersey City Heights is quiet and safe and yet just a short bus or train ride to the middle of Manhattan. Guests tell us they enjoy coming back to the quiet of our apartment after a busy day in NYC.,4296829,Harriet,"Jersey City, NJ",within a few hours,80%,https://a0.muscache.com/im/users/4296829/profile_pic/1393787648/original.jpg?aki_policy=profile_small,,1,t,Neighborhood highlights,,-74.04921,Entire home/apt,1.0,2.0,"[""Cooking basics"", ""Body soap"", ""Hair dryer"", ""Kitchen"", ""Standalone high chair"", ""HDTV with HBO Max, Netflix, standard cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Coffee"", ""City skyline view"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""Window AC unit"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Hot water kettle"", ""Baking sheet"", ""Babysitter recommendations"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Children\u2019s dinnerware"", ""Shampoo""]",3,1,180,3.0,,5,14,2025-03-18,33,51,255,2013-02-10,4.95,4.97,4.97,4.93,f,1,0
8,https://www.airbnb.com/rooms/938292,2025-03-18,New apt in downtown JC minutes away from Manhattan,"The neighborhood is safe and trendy. It’s a great neighborhood for New York City commuters and travelers as well as for those that want to enjoy a bit more calmness than Manhattan while being minutes away from it.<br /><br />Aside from the proximity to the underground transportation with Manhattan and other parts of New Jersey, you will have in less than 5 minutes walk a large diversity of exciting cafes, restaurants, bars, shops, yoga studios, gyms and a great supermarket (Keyfood). <br /><br />In less than 15 minutes walk you will reach a large shopping mall, a multiplex movie theater, several parks, and the riverside with some of the best views in the New York Metropolitan Area. If you want more shopping, next to the Newport Mall, you can find Shoprite, BJ’S Wholesale, Bed Bath & Beyond, The Home Depot and Target.",1450378,Alfredo,"New York, NY",within a few hours,86%,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_small,,8,t,Neighborhood highlights,,-74.04931,Entire home/apt,1.0,1.0,"[""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Smart lock"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Self check-in"", ""Air conditioning"", ""Hangers"", ""Pocket wifi"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""TV with standard cable"", ""Smoke alarm"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",29,29,1125,29.0,,0,57,2025-03-18,1,256,58,2016-07-29,4.71,4.48,4.95,4.48,f,3,0
9,https://www.airbnb.com/rooms/946048,2025-03-18,Newly renovated small studio.  1 Month or more,"The neighborhood is safe and trendy. It’s a great neighborhood for New York City commuters and travelers as well as for those that want to enjoy a bit more calmness than Manhattan while being minutes away from it.<br /><br />Aside from the proximity to the underground transportation with Manhattan and other parts of New Jersey, you will have in less than 5 minutes walk a large diversity of exciting cafes, restaurants, bars, shops, yoga studios, gyms and a great supermarket (Keyfood).<br /><br />In less than 15 minutes walk you will reach a large shopping mall, a multiplex movie theater, several parks, and the riverside with some of the best views in the New York Metropolitan Area. If you want more shopping, next to the Newport Mall, you can find Shoprite, BJ’S Wholesale, Bed Bath & Beyond, The Home Depot and Target.<br /><br />Enjoy this studio, that accommodates 2 people. It also includes wifi.",1450378,Alfredo,"New York, NY",within a few hours,86%,https://a0.muscache.com/im/users/1450378/profile_pic/1360771618/original.jpg?aki_policy=profile_small,,8,t,Neighborhood highlights,,-74.05023,Entire home/apt,1.0,1.0,"[""Dining table"", ""Body soap"", ""Hair dryer"", ""Smart lock"", ""Clothing storage: closet"", ""Rice maker"", ""32 inch HDTV with Netflix, Roku"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Toaster"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Dryer"", ""Mini fridge"", ""Hangers"", ""Room-darkening shades"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Portable fans"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Kitchenette"", ""Private hot tub"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",29,28,1125,28.9,,2,15,2025-03-18,2,51,116,2016-09-25,4.84,4.76,4.92,4.83,f,3,0
